StarID,ProperName,RA,Dec,Mag,ColorIndex
171.0,,0.04759564,47.25228068,8.27,0.128
172.0,,0.04771301,30.3365158,8.44,0.423
173.0,,0.04867075,-30.14977973,8.43,0.007
174.0,,0.04879841,71.35854324,8.49,1.18
175.0,,0.04918777,-0.89382979,8.09,1.26
176.0,,0.04928494,-20.04607402,6.25,0.526
177.0,,0.04954493,3.38193739,8.56,0.521
178.0,,0.05013113,9.13829706,8.76,1.01
179.0,,0.05014439,-34.74405055,7.76,0.967
180.0,,0.05022513,-60.69189462,7.82,1.041
181.0,,0.05059098,39.99515242,7.9,0.668
182.0,,0.05090547,-7.81552594,8.52,1.036
183.0,,0.05105009,8.27080462,8.1,0.342
184.0,,0.05161308,31.87010321,8.75,0.552
185.0,,0.05162115,52.46516859,8.14,0.88
186.0,,0.05169369,-25.26104885,8.65,1.349
187.0,,0.05217149,-24.14513788,6.46,1.176
188.0,,0.0523113,42.74791705,6.73,0.051
189.0,,0.05296824,-24.58828778,7.96,0.421
190.0,,0.05353433,-31.21239379,8.87,0.081
191.0,,0.05368853,17.55239698,6.59,1.122
192.0,,0.05372694,48.7223389,8.65,1.455
193.0,,0.05528252,4.68713578,12.04,1.473
194.0,,0.05547195,38.24401553,8.42,1.174
195.0,,0.05569065,-11.94520986,8.09,1.125
196.0,,0.05569407,-4.14573041,8.09,0.455
197.0,,0.05612037,59.07861165,8.18,1.462
198.0,,0.05613679,23.5750499,8.77,1.125
199.0,,0.05667045,73.17449052,7.36,0.146
200.0,,0.05703441,-26.41518293,8.82,0.979
201.0,,0.0571436,63.64052431,6.24,0.332
202.0,,0.05719411,20.66591788,7.49,0.636
203.0,,0.05728525,-36.25120504,6.96,0.353
204.0,,0.05754128,55.55090206,7.94,-0.023
205.0,,0.05758499,62.35780416,8.69,0.12
206.0,,0.05775108,53.31270092,8.15,0.134
207.0,,0.05841247,55.05995058,8.45,1.655
208.0,,0.05842847,19.3815717,7.92,1.408
209.0,,0.05847703,12.35682896,7.45,0.353
210.0,,0.05871155,-35.60222342,8.55,1.212
211.0,,0.05925061,42.35221969,7.9,1.071
212.0,,0.06015723,-51.80908752,8.68,1.011
213.0,,0.06027427,-31.09403248,7.78,0.563
214.0,,0.06030294,-28.41713516,8.21,-0.123
215.0,,0.06058045,70.30603307,8.11,-0.019
216.0,,0.06105999,-57.16443914,8.29,0.488
217.0,,0.06114376,3.90700467,7.89,0.401
218.0,,0.06147189,-28.39584776,8.24,0.78
219.0,,0.06162965,48.43692667,6.8,0.06
220.0,,0.06179703,13.36518977,8.18,1.015
221.0,,0.06225145,-63.60066163,8.44,0.508
222.0,,0.06232565,-17.33597002,4.55,-0.047
